path	role	status	scope	stage	class	hunk	lines_minus_plus	basis
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-543 +458	25/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-569 +459	23/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-593 +460	26/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-628 +469	16/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-652 +478	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-668 +494	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-678 +504	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-688 +513	14/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-711 +523	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-718 +530	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-737 +549	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-767 +578	1/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-770 +581	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-775 +585	16/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-826 +621	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-888 +683	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-950 +745	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-955 +750	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-992 +787	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1049 +844	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1055 +850	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1060 +855	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1166 +961	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1181 +976	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1221 +1016	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1253 +1048	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1257 +1052	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1259 +1054	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1262 +1057	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1268 +1063	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1273 +1068	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1279 +1073	42/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1325 +1077	11/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-1374 +1115	4/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-1385 +1122	10/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1405 +1133	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1411 +1138	18/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1430 +1140	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1436 +1146	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1439 +1149	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1446 +1156	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-1451 +1160	4/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1475 +1181	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1477 +1183	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1489 +1195	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1493 +1199	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1497 +1203	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1518 +1224	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1536 +1242	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1539 +1245	5/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1550 +1253	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1560 +1263	4/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1575 +1276	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1578 +1279	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1600 +1301	5/5	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1609 +1310	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1623 +1324	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1639 +1340	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1648 +1349	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1650 +1351	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1658 +1359	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1664 +1365	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1668 +1369	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1679 +1380	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1696 +1397	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1702 +1403	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1704 +1405	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1707 +1408	5/5	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1716 +1417	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1721 +1422	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1728 +1428	30/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1765 +1436	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1808 +1478	124/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-1936 +1482	14/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1952 +1485	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-1965 +1497	48/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-2019 +1503	19/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2049 +1514	45/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2115 +1536	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2136 +1557	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2152 +1573	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2183 +1604	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2185 +1606	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2200 +1621	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2223 +1644	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2246 +1667	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2252 +1673	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2269 +1690	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2289 +1710	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2298 +1719	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2302 +1723	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2323 +1744	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2334 +1755	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2336 +1757	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2345 +1766	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2348 +1769	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2350 +1771	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2352 +1773	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2361 +1782	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2365 +1786	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2391 +1812	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2431 +1852	12/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2452 +1862	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	M	-2483 +1892	65/0	Track A pure move: lines leave to a sealed sibling
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2551 +1896	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2557 +1902	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2561 +1906	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2567 +1912	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2569 +1914	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2577 +1922	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-app.cjs	released	M	declared	A	R	-2593 +1938	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-model.cjs	new	M	declared	A	R	-49 +50	0/5	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-model.cjs	new	M	declared	A	R	-397 +402	10/13	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-model.cjs	new	M	declared	A	R	-410 +417	21/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-model.cjs	new	M	declared	A	R	-433 +419	5/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-20 +21	0/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-123 +126	3/9	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-131 +139	26/0	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-158 +141	13/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-246 +217	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-251 +222	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-279 +250	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-305 +276	1/1	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-316 +287	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-570 +541	3/3	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-app.mjs	released	M	declared	A	R	-575 +546	2/2	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-lanes.cjs	new	A	declared	A	R	-0 +1	0/985	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/today-readings.cjs	new	A	declared	A	R	-0 +1	0/78	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
rebuild/m3/w7-preview/today/gym-settings-lane.mjs	new	A	declared	A	R	-0 +1	0/103	Track A declared cut row (substitution/replace/wrapper/banner/compose; regions.json, cut.cjs)
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-161 +161	2/14	declared edited: product/tooling bytes
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-242 +255	0/3	declared edited: product/tooling bytes
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-244 +259	1/1	declared edited: product/tooling bytes
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-304 +320	0/2	declared edited: product/tooling bytes
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-306 +323	1/1	declared edited: product/tooling bytes
.github/workflows/rebuild.yml	edited	M	declared	S10	N	-331 +349	0/34	declared edited: product/tooling bytes
rebuild/DECISIONS.md	undeclared	M	undeclared	S10	M	-809 +810	0/2	merge-forward: append-only, byte-equal to chain tip ace916f (cbe2bdf); S10 authors no byte
rebuild/engine/PROPOSED-PICK-REPAIR-REPORT.md	new	A	declared	S10	N	-0 +1	0/58	declared new: new file
rebuild/engine/test/proposed-pick.test.cjs	new	A	declared	S10	N	-0 +1	0/292	declared new: new file
rebuild/engine/today.cjs	edited	M	declared	S10	N	-97 +97	1/1	declared edited: product/tooling bytes
rebuild/engine/writers.cjs	edited	M	declared	S10	N	-227 +227	1/1	declared edited: product/tooling bytes
rebuild/lanes/astra/reviews/S10-INTEGRATION-REVIEW-L3.md	undeclared	A	undeclared	S10	N	-0 +1	0/188	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/astra/reviews/S10-INTEGRATION-REVIEW-L4.md	undeclared	A	undeclared	S10	N	-0 +1	0/191	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/astra/reviews/S10-INTEGRATION-REVIEW-L5.md	undeclared	A	undeclared	S10	N	-0 +1	0/176	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/astra/reviews/S10-INTEGRATION-REVIEW-L6.md	undeclared	A	undeclared	S10	N	-0 +1	0/178	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/astra/reviews/S10-INTEGRATION-REVIEW-L7.md	undeclared	A	undeclared	S10	N	-0 +1	0/190	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/astra/reviews/S10-REGEN-SCOPE-REVIEW-L1.md	undeclared	A	undeclared	S10	N	-0 +1	0/65	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/b/S10-INTEGRATION-REPORT.md	undeclared	A	undeclared	S10	N	-0 +1	0/144	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/b/S10-REGEN.cjs	new	A	declared	S10	N	-0 +1	0/368	declared new: new file
rebuild/lanes/b/S10-REGEN.test.cjs	new	A	declared	S10	N	-0 +1	0/403	declared new: new file
rebuild/lanes/b/S10-TODAY-SPLIT-BRIEF.md	undeclared	A	undeclared	S10	N	-0 +1	0/1223	new record file (report/review/brief/spec), not product, no execution route
rebuild/lanes/b/tooling/b-package.cjs	edited	M	declared	S10	N	-177 +177	1/5	declared edited: product/tooling bytes
rebuild/lanes/b/tooling/b-package.cjs	edited	M	declared	S10	N	-324 +328	1/6	declared edited: product/tooling bytes
rebuild/lanes/b/tooling/b-package.cjs	edited	M	declared	S10	N	-489 +498	1/7	declared edited: product/tooling bytes
rebuild/lanes/b/tooling/packages/H3.json	edited	M	declared	S10	R	-45 +45	1/1	declared edited: re-pin (hex digests only)
rebuild/lanes/b/tooling/packages/S10.json	undeclared	A	undeclared	S10	N	-0 +1	0/2053	the S10 package declaration itself (PROPOSED), new file
rebuild/lanes/b/tooling/packages/S3.json	edited	M	declared	S10	R	-45 +45	1/1	declared edited: re-pin (hex digests only)
rebuild/lanes/b/tooling/packages/S4.json	edited	M	declared	S10	R	-45 +45	1/1	declared edited: re-pin (hex digests only)
rebuild/lanes/b/tooling/packages/S5.json	edited	M	declared	S10	R	-45 +45	1/1	declared edited: re-pin (hex digests only)
rebuild/lanes/b/tooling/packages/S6.json	edited	M	declared	S10	R	-45 +45	1/1	declared edited: re-pin (hex digests only)
